dow,month,prior_er,prior_ret,prior_range_pct,atr14_pct,ret_5d,vol_5d,vix,vix_chg,vix_ts,opex,quad_witching,day_before_holiday,day_after_holiday,month_end,quarter_end,early_close,date,session_er,range_pct,bars,news_chop_risk,news_impact,news_relevance,news_dir
4,7,0.7750578401373237,-0.0132331822203457,1.7073799573462958,0.7972305261357129,0.0560112858110972,0.4047592796382732,14.40999984741211,1.2200002670288086,-2.219999313354492,0,0,1,0,0,0,0,2023-07-28,0.3285414554325239,0.5727512593768822,7,,,,
0,7,0.6302001643139891,0.0036094793777035,0.5727512593768822,0.836305982283773,1.0116115260186298,0.5968217921561297,13.329999923706056,-1.079999923706055,-2.59000015258789,0,0,0,0,1,0,0,2023-07-31,0.1810524718291156,0.4597798590393251,7,,,,
1,8,0.1964004447326971,0.0009030096879445,0.4597798590393251,0.8131322551014003,0.7535134102488072,0.5862104757356719,13.630000114440918,0.3000001907348633,-2.380000114440918,0,0,0,0,0,0,0,2023-08-01,0.0832159001482403,0.373246697074384,7,0.6,0.7,0.8,-1.0
2,8,0.1228822033656181,-0.0004586537653543,0.373246697074384,0.7721521860002409,0.202957871782794,0.6067308670040126,13.93000030517578,0.3000001907348633,-2.4099998474121094,0,0,0,0,0,0,0,2023-08-02,0.530321501968024,0.9927679405341348,7,0.8,0.6,0.7,-1.0
3,8,0.8308962595510596,-0.0082488716839201,0.9927679405341348,0.8237563694129946,-1.1684428374938438,0.8843201577827401,16.09000015258789,2.1599998474121094,-1.8699989318847656,0,0,0,0,0,0,0,2023-08-03,0.1288152847715828,0.75541067103131,7,,,,
4,8,0.2244498777506112,0.0016955183276448,0.75541067103131,0.8349845675714985,-0.7828258479635863,0.8558329727144789,15.920000076293944,-0.1700000762939453,-1.7999992370605469,0,0,1,0,0,0,0,2023-08-04,0.4411353212404346,1.4574794555518416,7,,,,
0,8,0.546133978536122,-0.0079597905369518,1.4574794555518416,0.8997915557938151,-2.274006231826897,0.5714903958452051,17.100000381469727,1.1800003051757812,-1.510000228881836,0,0,0,0,0,0,0,2023-08-07,0.5878569204170828,0.6387494135076526,7,0.7,0.2,0.3,0.0
1,8,0.9362118556086936,0.0059800477368896,0.6387494135076526,0.8824176661375898,-1.5367320728778666,0.8180154416207415,15.770000457763672,-1.329999923706055,-1.9499988555908203,0,0,0,0,0,0,0,2023-08-08,0.0270614331179477,0.8652659883097689,7,,,,
2,8,0.0346891152707381,0.0003001531160833,0.8652659883097689,0.934733224491036,-1.6900734364129533,0.8190621572925488,15.989999771118164,0.2199993133544922,-2.139999389648437,0,0,0,0,0,0,0,2023-08-09,0.4034991190742377,0.9132339358611334,7,,,,
3,8,0.8236432957609302,-0.0075217900873338,0.9132339358611334,0.9460751120741918,-1.012103416667176,0.638415340310699,15.960000038146973,-0.0299997329711914,-2.089999198913574,0,0,0,0,0,0,0,2023-08-10,0.1989059902397168,1.5477538776004105,7,,,,
4,8,0.2639312681918528,-0.0040850064376393,1.5477538776004105,1.0246702309967346,-0.73435951544224,0.6448240231716326,15.850000381469728,-0.1099996566772461,-2.309999465942383,0,0,1,0,0,0,0,2023-08-11,0.2894537419996896,0.7249096826281137,7,,,,
0,8,0.4142593265503876,0.003001751067168,0.7246067559091798,1.0340554246163445,-0.3121904306016665,0.6085149327815697,14.84000015258789,-1.010000228881836,-2.719999313354492,0,0,0,0,0,0,0,2023-08-14,0.6117569848115507,0.8198570685359109,7,,,,
1,8,0.8563354555201123,0.0070860053120123,0.8274800799539991,1.0419682524698464,-0.6356115591869882,0.4837620206569671,14.81999969482422,-0.0200004577636718,-2.59000015258789,0,0,0,0,0,0,0,2023-08-15,0.6531532236605256,1.0422310663155097,7,0.6,0.7,0.8,-1.0
2,8,0.8785368353887512,-0.0091563838274467,1.0422310663155097,1.0905845019264735,-1.367299964296298,0.6706961558806618,16.459999084472656,1.6399993896484375,-2.1300010681152344,0,0,0,0,0,0,0,2023-08-16,0.4023107707444192,1.0465175440470589,7,,,,
3,8,0.6349076061792314,-0.0066444194871548,1.0465175440470589,1.0468126657771792,-1.4186212481707372,0.6793333930546173,16.780000686645508,0.3200016021728515,-2.1899986267089844,0,0,0,0,0,0,0,2023-08-17,0.6900729895326211,1.2757192864755116,7,0.8,0.6,0.7,-1.0
4,8,0.8157630174027595,-0.0104068461449415,1.2757192864755116,1.0608165908871556,-2.2034897976041523,0.6822512209923857,17.889999389648438,1.1099987030029297,-1.9400005340576167,1,0,1,0,0,0,0,2023-08-18,0.8334520023417351,1.0704499751301202,7,0.7,0.4,0.5,-1.0
0,8,0.5338680552639314,0.0057147904648005,1.0704499751301202,1.1025424843259934,-2.113324175974429,0.6947132352193192,17.299999237060547,-0.5900001525878906,-1.9400005340576167,0,0,0,0,0,0,0,2023-08-21,0.4088646169628579,1.0786982183220182,7,,,,
1,8,0.4124917328042328,0.0044495409724849,1.0786982183220182,1.136927196139497,-2.0034699493101997,0.7359185053252867,17.1299991607666,-0.1700000762939453,-1.6400012969970703,0,0,0,0,0,0,0,2023-08-22,0.8001081265649898,0.8112603946919668,7,0.7,0.2,0.2,0.0
2,8,0.7755558281874071,-0.0062917772728097,0.8112603946919668,1.082853626795102,-1.1336558643956771,0.6042051009915994,16.969999313354492,-0.1599998474121093,-1.75,0,0,0,0,0,0,0,2023-08-23,0.7729484512795415,1.0631382436228531,7,,,,
3,8,0.8465901968158456,0.0090004241491112,1.0631382436228531,1.1059336828345083,0.7192850430839393,0.7515382199594524,15.979999542236328,-0.989999771118164,-1.960000991821289,0,0,0,0,0,0,0,2023-08-24,1.0,1.857396751133912,7,,,,
4,8,0.9528712707703928,-0.0176986000257777,1.857396751133912,1.1487017894083724,0.13614886413571,0.9456371587955918,17.200000762939453,1.220001220703125,-1.5499992370605469,0,0,1,0,0,0,0,2023-08-25,0.2447756941372303,1.4163714131565337,7,,,,
0,8,0.2626684678458106,0.0037203610899443,1.4163714131565337,1.1740452358506832,0.8238533065539233,0.9863327502345772,15.68000030517578,-1.520000457763672,-2.039999008178711,0,0,0,0,0,0,0,2023-08-28,0.0959760010979889,0.5553527499393514,7,,,,
1,8,0.2961859356376639,0.0016448767384973,0.5553527499393514,1.1341907292903717,0.7623134598765624,0.978588494386352,15.079999923706056,-0.6000003814697266,-2.040000915527344,0,0,0,0,0,0,0,2023-08-29,0.9812569640709284,1.5444128574248492,7,,,,
2,8,0.9477055190220104,0.0146364858863008,1.5444128574248492,1.1614065952581485,2.50891916958742,1.0865021492048412,14.449999809265137,-0.630000114440918,-2.109999656677246,0,0,0,0,0,0,0,2023-08-30,0.3484063035207301,0.6235097696614925,7,,,,
3,8,0.5178276228096125,0.0032287058182238,0.6235097696614925,1.0914894664329855,1.7777316942265475,1.0330033448446996,13.880000114440918,-0.5699996948242188,-2.3000001907348637,0,0,0,0,1,0,0,2023-08-31,0.184603153297333,0.5344165651623269,7,,,,
4,9,0.375944868749141,-0.0020698669828327,0.5505772667464864,1.0815403268766075,3.001389204549576,0.5817440237273578,13.56999969482422,-0.3100004196166992,-2.3500003814697266,0,0,1,0,0,0,0,2023-09-01,0.4542825960625345,0.8806758814222169,7,,,,
1,9,0.3716820657162087,-0.0032733143083345,0.8806758814222169,1.084358712590159,2.498123107730188,0.6064784168318464,13.09000015258789,-0.4799995422363281,-2.649999618530273,0,0,0,1,0,0,0,2023-09-05,0.3420205197333932,0.4053221730976204,7,0.5,0.6,0.7,-1.0
2,9,0.7237299001015012,-0.0029334377584486,0.4053221730976204,1.028931187203486,1.43278991750464,0.7200361188904372,14.010000228881836,0.9200000762939452,-2.229999542236328,0,0,0,0,0,0,0,2023-09-06,0.4916048644530383,1.0682956517975777,7,,,,
3,9,0.5184491515934978,-0.0055385697432547,1.0682956517975777,1.049031086543239,-0.7148187641364045,0.4373389810067561,14.449999809265137,0.4399995803833008,-2.160000801086426,0,0,0,0,0,0,0,2023-09-07,0.5412518666002987,0.5795446312348064,7,,,,
4,9,0.6065913270133719,0.003741153614672,0.6167502646455754,1.0181981959534123,-1.4115573386294875,0.3244547316558334,14.399999618530272,-0.0500001907348632,-2.180000305175781,0,0,1,0,0,0,0,2023-09-08,0.1338347333463567,0.5650013130381728,7,,,,
0,9,0.2461413011823635,0.0013907015836096,0.5650013130381728,0.9825197981051782,-1.1129925534745122,0.3771883244196856,13.84000015258789,-0.5599994659423828,-2.299999237060547,0,0,0,0,0,0,0,2023-09-11,0.3844450303190087,0.5105999784026386,7,,,,
1,9,0.2832173801698749,0.0014461078819798,0.5105999784026386,0.9537210790747394,-0.6269154202119598,0.538496987935755,13.800000190734863,-0.0399999618530273,-2.2200002670288086,0,0,0,0,0,0,0,2023-09-12,0.2281971598284882,0.6731063215451767,7,,,,
2,9,0.3755019108896522,-0.0025417909354579,0.6769049269112306,0.9508761377584336,-0.7767733086284312,0.5626991417820035,14.229999542236328,0.4299993515014648,-2.020000457763672,0,0,0,0,0,0,0,2023-09-13,0.1339064630108783,0.5797030408751807,7,0.7,0.3,0.4,-1.0
3,9,0.1851572232078819,0.001073362053336,0.5797030408751807,0.902114176547667,0.0438913833691545,0.478252306743317,13.479999542236328,-0.75,-2.440000534057617,0,0,0,0,0,0,0,2023-09-14,0.3663398644339301,0.7411214897412394,7,0.7,0.4,0.5,-1.0
4,9,0.5201249285180135,0.0038594390387176,0.7420215465761895,0.8340071857114445,1.212272794836733,0.5542599771211031,12.81999969482422,-0.6599998474121094,-2.520000457763672,1,1,1,0,0,0,0,2023-09-15,0.8494670475128884,1.1287293352061358,7,,,,
0,9,0.9387460688421476,-0.0105959022621157,1.1287293352061358,0.8374040758914783,-0.1608620497012824,0.8626741787947269,13.789999961853027,0.9700002670288086,-2.2300004959106445,0,0,0,0,0,0,0,2023-09-18,0.2776957637997432,0.5455408647059974,7,,,,
1,9,0.3463877255154639,0.0018896865930124,0.5455408647059974,0.8214032486990569,-0.7561109419717549,0.778277714880057,14.0,0.2100000381469726,-2.1299991607666016,0,0,0,0,0,0,0,2023-09-19,0.0391666388731392,0.7477428000263615,7,,,,
2,9,0.0439214995005582,-0.000328419850179,0.7477428000263615,0.7724789184232488,-0.4022884292366413,0.7458864942979868,14.109999656677246,0.1099996566772461,-2.0199995040893555,0,0,0,0,0,0,0,2023-09-20,0.7832498985252334,1.3396013204881267,7,,,,
3,9,0.8484483845354158,-0.0113658257628965,1.3396013204881267,0.8310616099124288,-1.4603385148858616,0.821529022860728,15.140000343322754,1.0300006866455078,-1.669999122619629,0,0,0,0,0,0,0,2023-09-21,0.7167929361748515,1.0637047451920698,7,0.4,0.6,0.7,1.0
4,9,0.953354880685038,-0.0101408811043669,1.0637047451920698,0.9243658626484658,-3.886708260874039,0.707141133121217,17.540000915527344,2.40000057220459,-0.6999988555908203,0,0,1,0,0,0,0,2023-09-22,0.2757192285129359,0.942241261806834,7,,,,
0,9,0.5299523769738491,-0.0049934299637737,0.942241261806834,0.9281622807300112,-2.9269753808731536,0.695289870000755,17.200000762939453,-0.3400001525878906,-0.8899993896484375,0,0,0,0,0,0,0,2023-09-25,0.5811105323028183,0.8307289749267966,7,0.7,0.4,0.3,-1.0
1,9,0.7489568845618915,0.0062218018497646,0.8307289749267966,0.9508730557473014,-2.606692878465322,0.7839713417501625,16.899999618530273,-0.3000011444091797,-1.1200008392333984,0,0,0,0,0,0,0,2023-09-26,0.5827008199695233,1.0904496863840571,7,,,,
2,9,0.8367058774671138,-0.0091238566167971,1.0904496863840571,0.9935236936561976,-3.834885691023504,0.8583162672391771,18.940000534057617,2.040000915527344,-0.779998779296875,0,0,0,0,0,0,0,2023-09-27,0.093131421146737,1.247830021938641,7,0.6,0.5,0.7,-1.0
3,9,0.1519484672666636,-0.001896058592429,1.247830021938641,1.02407625848385,-2.9006047890204,0.9183209971369174,18.21999931335449,-0.720001220703125,-0.8900012969970703,0,0,0,0,0,0,0,2023-09-28,0.3354464340043258,1.2387464529519594,7,0.7,0.2,0.3,-1.0
4,9,0.5681644032902815,0.007038116392694,1.2387464529519594,1.0641598927925666,-0.6997645424364873,0.8121944269290509,17.34000015258789,-0.8799991607666016,-1.039999008178711,0,0,1,0,1,1,0,2023-09-29,0.5822249401212862,1.3467562969921525,7,,,,
0,10,0.6884601852937727,-0.0092718808977276,1.3467562969921525,1.1087122086235492,-0.7409677984122731,0.813574919536793,17.520000457763672,0.1800003051757812,-0.989999771118164,0,0,0,0,0,0,0,2023-10-02,0.0470079405721901,0.9422319653886624,7,,,,
1,10,0.0958658893538789,0.0009032790533962,0.9422319653886624,1.1248478143390972,-1.1308468901035096,0.764785960936115,17.610000610351562,0.0900001525878906,-1.010000228881836,0,0,0,0,0,0,0,2023-10-03,0.5042177244253663,1.5153043393934071,7,,,,
2,10,0.6228746085053394,-0.0094384459716611,1.5153043393934071,1.2183277275669095,-1.0314562448320077,0.7245858329152558,19.780000686645508,2.1700000762939453,-0.6299991607666016,0,0,0,0,0,0,0,2023-10-04,0.3449075120980507,1.1341980817642123,7,,,,
3,10,0.6230718389343637,0.0070668688452064,1.1341980817642123,1.214339538310927,-0.2517192898125686,0.8596810430654045,18.57999992370605,-1.2000007629394531,-0.9400005340576172,0,0,0,0,0,0,0,2023-10-05,0.0165739107864019,0.9677559509745826,7,0.8,0.6,0.7,-1.0
4,10,0.0271742993200502,-0.0002629808988053,0.9677559509745826,1.1879615324401698,-0.9654220531818524,0.783270047810563,18.489999771118164,-0.0900001525878906,-1.010000228881836,0,0,1,0,0,0,0,2023-10-06,0.7352697054677793,2.468842422041197,7,,,,
0,10,0.7050191715821575,0.0174058123915437,2.468842422041197,1.3072158220772063,0.4769113290182591,0.98875414835938,17.450000762939453,-1.039999008178711,-1.279998779296875,0,0,0,0,0,0,0,2023-10-09,0.9308383640351728,1.3508899735231896,7,,,,
1,10,0.8049738330201162,0.0108743107997539,1.3508899735231896,1.333656734542737,1.1022788977734788,1.0132844263833445,17.700000762939453,0.25,-1.1099987030029297,0,0,0,0,0,0,0,2023-10-10,0.271260400443378,1.0558171373639034,7,0.7,0.8,0.9,-1.0
2,10,0.4035422372361171,0.0042606680972405,1.0558171373639034,1.3106034129595818,3.045077565997545,0.4804399027977428,17.030000686645508,-0.6700000762939453,-1.239999771118164,0,0,0,0,0,0,0,2023-10-11,0.2384971599333896,0.7626155457768371,7,0.6,0.7,0.8,-1.0
3,10,0.3111189313626299,0.0023726413364262,0.7626155457768371,1.2401646600196932,2.654944481090582,0.4692559933758998,16.09000015258789,-0.9400005340576172,-1.539999008178711,0,0,0,0,0,0,0,2023-10-12,0.4009861282961618,1.3791543066807177,7,,,,
4,10,0.5185388718280265,-0.0071514511826298,1.3791543066807177,1.279999375200532,2.1469197741989188,0.6567678674075019,16.690000534057617,0.6000003814697266,-1.3999996185302734,0,0,1,0,0,0,0,2023-10-13,0.3961828202844834,1.4936367085302102,7,,,,
0,10,0.5022341175235782,-0.0075015531420948,1.4936367085302102,1.334848120218975,0.4474825381513225,0.6028619902650512,19.31999969482422,2.6299991607666016,-1.25,0,0,0,0,0,0,0,2023-10-16,0.4453197984479017,0.943262776596972,7,,,,
1,10,0.7631785995279308,0.007198779648301,0.943262776596972,1.2948713945142067,0.8757542149092412,0.7183428692222633,17.209999084472656,-2.1100006103515625,-1.5800018310546875,0,0,0,0,0,0,0,2023-10-17,0.3265118523710487,1.2894549979655088,7,,,,
2,10,0.4992026074301301,0.006436992971482,1.2894549979655088,1.299228678226333,0.3432569140981556,0.6935481811669147,17.8799991607666,0.6700000762939453,-1.3800010681152344,0,0,0,0,0,0,0,2023-10-18,0.6972111553784861,1.385253656688428,7,,,,
3,10,0.7082463718875892,-0.0098110087649359,1.385253656688428,1.3441411416706734,-1.4245101011892691,0.8886230060364604,19.21999931335449,1.3400001525878906,-1.25,0,0,0,0,0,0,0,2023-10-19,0.5392915787004458,1.61639159584391,7,,,,
4,10,0.6207559436013226,-0.0100338469030732,1.61639159584391,1.3749423441361115,-1.6463514092555642,0.9153219531646196,21.399999618530277,2.180000305175781,-0.7900009155273438,1,0,1,0,0,0,0,2023-10-20,0.5806875546405708,1.2525070419960596,7,0.8,0.6,0.7,-1.0
0,10,0.9282586883152422,-0.0116265054390886,1.2525070419960596,1.417155017474284,-2.394290699856138,1.0089894396692811,21.709999084472656,0.3099994659423828,-0.7300014495849609,0,0,0,0,0,0,0,2023-10-23,0.1316887842465753,1.5822636911321817,7,,,,
1,10,0.0996723762615712,0.0015770798196754,1.5822636911321817,1.4105361753274137,-3.580317675379141,0.6122008246867283,20.3700008392334,-1.3399982452392578,-0.9599990844726562,0,0,0,0,0,0,0,2023-10-24,0.1544601417860968,0.9431465361321828,7,,,,
2,10,0.2976276323991346,0.0028070647055447,0.9431465361321828,1.3908097124246013,-2.87020977603063,0.8640543413471982,18.96999931335449,-1.4000015258789062,-1.239999771118164,0,0,0,0,0,0,0,2023-10-25,0.5572681816820862,1.2049844046997713,7,,,,
3,10,0.8950961243872549,-0.0107857687059385,1.2049844046997713,1.4537640531852445,-2.96273293542173,0.885535860786359,20.190000534057617,1.220001220703125,-1.1399993896484375,0,0,0,0,0,0,0,2023-10-26,0.4954416562490472,1.333820056713719,7,,,,
4,10,0.6958728544628925,-0.0092816917020522,1.333820056713719,1.3923056756998315,-3.290556791286814,0.9212902261056082,20.68000030517578,0.489999771118164,-0.8899993896484375,0,0,1,0,0,0,0,2023-10-27,0.483868326795156,1.2742908721381188,7,0.8,0.6,0.7,-1.0
0,10,0.6719535711979037,-0.0085626430227809,1.2742908721381188,1.3903134345254202,-2.5280774192355198,0.8592965408236644,21.270000457763672,0.5900001525878906,-1.0,0,0,0,0,0,0,0,2023-10-30,0.6699516302184481,1.0757689409966722,7,,,,
1,10,0.6159784205793987,0.0066265045318349,1.0757689409966722,1.3914708949844572,-1.1908877880826283,1.160114628426664,19.75,-1.520000457763672,-1.0499992370605469,0,0,0,0,1,0,0,2023-10-31,0.7439171244288283,1.0171740597203474,7,,,,
2,11,0.5295755846068864,0.0053867054732337,1.0171740597203474,1.3980682779441924,-1.2684658181413178,1.1441750255582928,18.13999938964844,-1.6100006103515625,-1.3500003814697266,0,0,0,0,0,0,0,2023-11-01,0.5333142242923683,1.14012910670032,7,,,,
3,11,0.763881385131347,0.008709234012548,1.14012910670032,1.369072096190472,1.220268691895332,1.0356737299913903,16.8700008392334,-1.269998550415039,-1.6799983978271484,0,0,0,0,0,0,0,2023-11-02,1.0,1.2056541083369292,7,,,,
4,11,0.9622927953999868,0.0116019226219701,1.2056541083369292,1.3714082999218848,4.364026306003033,0.872613760339273,15.65999984741211,-1.210000991821289,-2.139999389648437,0,0,1,0,0,0,0,2023-11-03,0.443535514764565,0.9088151043265574,7,,,,
0,11,0.612078689987728,0.0055626635849725,0.9088151043265574,1.359120893402107,5.852515554931514,0.4611690717476587,14.90999984741211,-0.75,-2.309999465942383,0,0,0,0,0,0,0,2023-11-06,0.0837266502692282,0.5655052430486601,7,,,,
1,11,0.0692847957265802,0.0003918091524692,0.5655052430486601,1.3054537552702128,4.7796680598576335,0.6279333898622584,14.890000343322754,-0.0199995040893554,-2.140000343322754,0,0,0,0,0,0,0,2023-11-07,0.3365415965674191,0.7065535018012753,7,,,,
2,11,0.3944919278252611,0.0027872965303727,0.7065535018012753,1.2389304665684453,4.401261069226314,0.6883565220931022,14.8100004196167,-0.0799999237060546,-2.109999656677246,0,0,0,0,0,0,0,2023-11-08,0.0360987485259994,0.7171025448843381,7,0.7,0.2,0.3,0.0
3,11,0.0505823885696536,-0.0003627275956962,0.7171025448843381,1.175088348555441,3.419648750791704,0.7531063993220969,14.449999809265137,-0.3600006103515625,-2.189999580383301,0,0,0,0,0,0,0,2023-11-09,0.6876121260239253,1.1262888042262906,7,,,,
4,11,0.8908227535688195,-0.0100332369389459,1.1262888042262906,1.175611438817305,0.6848499453737222,0.6248917373218427,15.289999961853027,0.8400001525878906,-2.0099992752075195,0,0,1,0,0,0,0,2023-11-10,0.7841750044402345,1.48230337760645,7,,,,
0,11,0.7897724270672152,0.0117068233618218,1.48230337760645,1.1641031176195022,1.3055519455784648,0.8468886016455177,14.170000076293944,-1.119999885559082,-2.3500003814697266,0,0,0,0,0,0,0,2023-11-13,0.1084102831913024,0.6340389414105956,7,,,,
